,time,value
0,35104,0
1,103245019,0
2,206456654,13
3,309854224,58
4,410960665,128
5,511958931,226
6,613148132,328
7,714146449,440
8,815242734,557
9,917602916,682
10,1018633004,811
11,1119877726,956
12,1221028073,1099
13,1322058786,1231
14,1423126217,1348
15,1524189690,1468
16,1625229101,1599
17,1726334448,1726
18,1827396202,1852
19,1928457071,1980
20,2029536169,2100
21,2130915004,2225
22,2232117173,2345
23,2333770225,2480
24,2434887916,2602
25,2536132534,2720
26,2637215121,2858
27,2738361718,2994
28,2839596388,3124
29,2940974962,3251
30,3042913741,3374
31,3144200858,3496
32,3245514485,3616
33,3346632541,3735
34,3447942522,3854
35,3549268962,3973
36,3650377747,4092
37,3751736582,4210
38,3852917970,4329
39,3953988682,4448
40,4055191217,4565
41,4156250002,4684
42,4257308318,4802
43,4358409447,4920
44,4459455107,5039
45,4560586965,5158
46,4661977622,5276
47,4763171302,5395
48,4864192379,5514
49,4965345955,5632
50,5067460328,5752
