,time,value
0,0.0,0
1,0.001,0
2,0.002,1
3,0.003,1
4,0.004,3
5,0.005,5
6,0.006,7
7,0.007,10
8,0.008,12
9,0.009000000000000001,15
10,0.01,19
11,0.011,22
12,0.012,22
13,0.013000000000000001,25
14,0.014,27
15,0.015,32
16,0.016,33
17,0.017,35
18,0.018000000000000002,39
19,0.019,41
20,0.02,42
21,0.021,44
22,0.022,46
23,0.023,49
24,0.024,55
25,0.025,61
26,0.026000000000000002,67
27,0.027,70
28,0.028,72
29,0.029,75
30,0.03,79
31,0.031,81
32,0.032,86
33,0.033,87
34,0.034,89
35,0.035,93
36,0.036000000000000004,97
37,0.037,99
38,0.038,102
39,0.039,104
40,0.04,107
41,0.041,112
42,0.042,116
43,0.043000000000000003,120
44,0.044,122
45,0.045,125
46,0.046,128
47,0.047,131
48,0.048,136
49,0.049,137
50,0.05,141
51,0.051000000000000004,144
52,0.052000000000000005,143
53,0.053,147
54,0.054,151
55,0.055,153
56,0.056,157
57,0.057,163
58,0.058,168
59,0.059000000000000004,171
60,0.06,177
61,0.061,179
62,0.062,183
63,0.063,188
64,0.064,192
65,0.065,197
66,0.066,201
67,0.067,203
68,0.068,209
69,0.069,212
70,0.07,214
71,0.07100000000000001,217
72,0.07200000000000001,224
73,0.073,225
74,0.074,227
75,0.075,232
76,0.076,235
77,0.077,241
78,0.078,243
79,0.079,246
80,0.08,251
81,0.081,255
82,0.082,258
83,0.083,261
84,0.084,267
85,0.085,269
86,0.08600000000000001,273
87,0.08700000000000001,278
88,0.088,283
89,0.089,286
90,0.09,289
91,0.091,293
92,0.092,295
93,0.093,294
94,0.094,295
95,0.095,300
96,0.096,303
97,0.097,307
98,0.098,308
99,0.099,313
100,0.1,318
101,0.101,321
102,0.10200000000000001,325
103,0.10300000000000001,328
104,0.10400000000000001,331
105,0.105,335
106,0.106,339
107,0.107,343
108,0.108,347
109,0.109,351
110,0.11,357
111,0.111,364
112,0.112,371
113,0.113,380
114,0.114,381
115,0.115,386
116,0.116,389
117,0.117,391
118,0.11800000000000001,397
119,0.11900000000000001,400
120,0.12,404
121,0.121,409
122,0.122,413
123,0.123,416
124,0.124,425
125,0.125,429
126,0.126,435
127,0.127,440
128,0.128,443
129,0.129,447
130,0.13,450
131,0.131,456
132,0.132,458
133,0.133,460
134,0.134,465
135,0.135,471
136,0.136,473
137,0.137,477
138,0.138,480
139,0.139,482
140,0.14,483
141,0.14100000000000001,489
142,0.14200000000000002,495
143,0.14300000000000002,497
144,0.14400000000000002,503
145,0.145,506
146,0.146,511
147,0.147,517
148,0.148,523
149,0.149,525
150,0.15,529
151,0.151,531
152,0.152,538
153,0.153,543
154,0.154,551
155,0.155,557
156,0.156,561
157,0.157,564
158,0.158,567
159,0.159,571
160,0.16,575
161,0.161,583
162,0.162,589
163,0.163,592
164,0.164,595
165,0.165,601
166,0.166,603
167,0.167,607
168,0.168,609
169,0.169,612
170,0.17,612
171,0.171,617
172,0.17200000000000001,622
173,0.17300000000000001,625
174,0.17400000000000002,628
175,0.17500000000000002,630
176,0.176,635
177,0.177,637
178,0.178,640
179,0.179,645
180,0.18,649
181,0.181,655
182,0.182,661
183,0.183,667
184,0.184,670
185,0.185,670
186,0.186,671
187,0.187,677
188,0.188,681
189,0.189,685
190,0.19,690
191,0.191,695
192,0.192,702
193,0.193,702
194,0.194,702
195,0.195,705
196,0.196,708
197,0.197,712
198,0.198,711
199,0.199,716
200,0.2,718
201,0.201,721
202,0.202,723
203,0.203,726
204,0.20400000000000001,728
